Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV,240109,2024-01-09,0233DR,IFED,1,23,347504,313819,39803,16376,292665,8265,600,1708,0,0,0,0,339060,342441,8444,5063,347504,313819,39803,16376,292665,8265,600,1708,0,0,0,0,339060,342441,8444,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -15922,  -13714,    -350,    -590,  -14397,    -284,    -310,     -58,       0,       0,   -1000,       0,  -14898,  -16089,   -1024,     167,100.0,90.3,11.5,4.7,84.2,2.4,0.2,0.5,0.0,0.0,0.0,0.0,97.6,98.5,2.4,1.5,100.0,90.3,11.5,4.7,84.2,2.4,0.2,0.5,0.0,0.0,0.0,0.0,97.6,98.5,2.4,1.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,     24,     10,.,      9,.,.,.,      0,      0,      0,      0,28,     21,41,     24,     10,.,      9,.,.,.,      0,      0,      0,      0,28,     21,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,57.1,66.9,76.2,86.9,57.1,66.9,75.8,86.8,57.1,66.9,76.2,86.9,57.1,66.9,75.8,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DR,IFED,23,N13,FutOnly
TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV,240102,2024-01-02,0233DR,IFED,1,23,363426,327533,40153,16966,307062,8549,910,1766,0,0,1000,0,353958,358530,9468,4896,363426,327533,40153,16966,307062,8549,910,1766,0,0,1000,0,353958,358530,9468,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3184,    3148,    2568,    -138,     442,     174,       0,       0,       0,       0,       0,       0,    3184,    3184,       0,       0,100.0,90.1,11.0,4.7,84.5,2.4,0.3,0.5,0.0,0.0,0.3,0.0,97.4,98.7,2.6,1.3,100.0,90.1,11.0,4.7,84.5,2.4,0.3,0.5,0.0,0.0,0.3,0.0,97.4,98.7,2.6,1.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,     25,     11,.,      8,.,.,.,      0,      0,.,      0,29,     23,42,     25,     11,.,      8,.,.,.,      0,      0,.,      0,29,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,55.2,66.9,74.3,87.6,55.2,66.9,73.8,87.5,55.2,66.9,74.3,87.6,55.2,66.9,73.8,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DR,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240227,2024-02-27,0233DT,IFED,1,23,73358,48972,23244,2920,34040,11457,1869,0,0,0,0,0,65218,68741,8140,4617,73358,48972,23244,2920,34040,11457,1869,0,0,0,0,0,65218,68741,8140,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      30,    2381,     -31,    -123,     -31,      92,       0,       0,       0,       0,       0,       0,    2350,      30,   -2320,       0,100.0,66.8,31.7,4.0,46.4,15.6,2.5,0.0,0.0,0.0,0.0,0.0,88.9,93.7,11.1,6.3,100.0,66.8,31.7,4.0,46.4,15.6,2.5,0.0,0.0,0.0,0.0,0.0,88.9,93.7,11.1,6.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,     13,     11,.,      6,      5,.,      0,      0,      0,      0,      0,20,     19,26,     13,     11,.,      6,      5,.,      0,      0,      0,      0,      0,20,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,54.3,49.1,70.3,73.4,50.0,45.4,62.2,64.0,54.3,49.1,70.3,73.4,50.0,45.4,62.2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240220,2024-02-20,0233DT,IFED,1,23,73328,46591,23275,3043,34071,11365,1869,0,0,0,0,0,62868,68711,10460,4617,73328,46591,23275,3043,34071,11365,1869,0,0,0,0,0,62868,68711,10460,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     985,     496,     310,    -276,     368,     400,       0,       0,       0,       0,       0,       0,     620,    1078,     365,     -93,100.0,63.5,31.7,4.1,46.5,15.5,2.5,0.0,0.0,0.0,0.0,0.0,85.7,93.7,14.3,6.3,100.0,63.5,31.7,4.1,46.5,15.5,2.5,0.0,0.0,0.0,0.0,0.0,85.7,93.7,14.3,6.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,     12,     11,.,      6,      5,.,      0,      0,      0,      0,      0,19,     19,25,     12,     11,.,      6,      5,.,      0,      0,      0,      0,      0,19,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,54.3,49.2,70.3,73.5,50.0,45.4,61.0,64.1,54.3,49.2,70.3,73.5,50.0,45.4,61.0,64.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240213,2024-02-13,0233DT,IFED,1,23,72343,46095,22965,3319,33703,10965,1869,0,0,0,0,0,62248,67633,10095,4710,72343,46095,22965,3319,33703,10965,1869,0,0,0,0,0,62248,67633,10095,4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      40,     401,    -642,    -978,     704,      40,       0,       0,       0,       0,       0,       0,    -537,     102,     577,     -62,100.0,63.7,31.7,4.6,46.6,15.2,2.6,0.0,0.0,0.0,0.0,0.0,86.0,93.5,14.0,6.5,100.0,63.7,31.7,4.6,46.6,15.2,2.6,0.0,0.0,0.0,0.0,0.0,86.0,93.5,14.0,6.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,     12,     10,.,      6,      5,.,      0,      0,      0,      0,      0,19,     18,25,     12,     10,.,      6,      5,.,      0,      0,      0,      0,      0,19,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,53.6,49.2,69.7,73.8,49.5,45.3,60.6,64.3,53.6,49.2,69.7,73.8,49.5,45.3,60.6,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240206,2024-02-06,0233DT,IFED,1,23,72303,45694,23607,4297,32999,10925,1869,0,0,0,0,0,62785,67531,9518,4772,72303,45694,23607,4297,32999,10925,1869,0,0,0,0,0,62785,67531,9518,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -5600,   -5982,   -3048,     256,    -309,    -963,    -406,    -114,    -372,       0,       0,       0,   -7467,   -4806,    1867,    -794,100.0,63.2,32.6,5.9,45.6,15.1,2.6,0.0,0.0,0.0,0.0,0.0,86.8,93.4,13.2,6.6,100.0,63.2,32.6,5.9,45.6,15.1,2.6,0.0,0.0,0.0,0.0,0.0,86.8,93.4,13.2,6.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,     12,     10,      4,      5,      4,.,      0,      0,      0,      0,      0,18,     18,25,     12,     10,      4,      5,      4,.,      0,      0,      0,      0,      0,18,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,53.6,48.9,70.5,73.5,48.9,44.9,61.1,64.9,53.6,48.9,70.5,73.5,48.9,44.9,61.1,64.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240130,2024-01-30,0233DT,IFED,1,23,77903,51676,26655,4041,33308,11888,2275,114,372,0,0,0,70252,72337,7651,5566,77903,51676,26655,4041,33308,11888,2275,114,372,0,0,0,70252,72337,7651,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      29,      29,      29,       0,       0,       0,       0,       0,       0,       0,       0,       0,      29,      29,       0,       0,100.0,66.3,34.2,5.2,42.8,15.3,2.9,0.1,0.5,0.0,0.0,0.0,90.2,92.9,9.8,7.1,100.0,66.3,34.2,5.2,42.8,15.3,2.9,0.1,0.5,0.0,0.0,0.0,90.2,92.9,9.8,7.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,     15,     12,.,      7,      4,.,.,.,      0,      0,      0,22,     21,29,     15,     12,.,      7,      4,.,.,.,      0,      0,      0,22,     21,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.3,45.1,68.9,68.1,47.0,41.4,58.8,58.5,51.3,45.1,68.9,68.1,47.0,41.4,58.8,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240123,2024-01-23,0233DT,IFED,1,23,77874,51647,26626,4041,33308,11888,2275,114,372,0,0,0,70223,72308,7651,5566,77874,51647,26626,4041,33308,11888,2275,114,372,0,0,0,70223,72308,7651,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3948,    4021,    2488,     -86,    1662,    -115,       0,       0,       0,       0,       0,       0,    3820,    4035,     128,     -87,100.0,66.3,34.2,5.2,42.8,15.3,2.9,0.1,0.5,0.0,0.0,0.0,90.2,92.9,9.8,7.1,100.0,66.3,34.2,5.2,42.8,15.3,2.9,0.1,0.5,0.0,0.0,0.0,90.2,92.9,9.8,7.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,     15,     11,.,      7,      4,.,.,.,      0,      0,      0,22,     20,29,     15,     11,.,      7,      4,.,.,.,      0,      0,      0,22,     20,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.3,45.1,68.9,68.1,47.0,41.5,58.8,58.5,51.3,45.1,68.9,68.1,47.0,41.5,58.8,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240116,2024-01-16,0233DT,IFED,1,23,73926,47626,24138,4127,31646,12003,2275,114,372,0,0,0,66403,68273,7523,5653,73926,47626,24138,4127,31646,12003,2275,114,372,0,0,0,66403,68273,7523,5653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     385,     414,     153,    -174,      29,     145,       0,      58,       0,       0,       0,       0,     385,     385,       0,       0,100.0,64.4,32.7,5.6,42.8,16.2,3.1,0.2,0.5,0.0,0.0,0.0,89.8,92.4,10.2,7.6,100.0,64.4,32.7,5.6,42.8,16.2,3.1,0.2,0.5,0.0,0.0,0.0,89.8,92.4,10.2,7.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,     13,     10,.,      6,      5,.,.,.,      0,      0,      0,21,     19,28,     13,     10,.,      6,      5,.,.,.,      0,      0,      0,21,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.5,43.7,70.2,67.5,47.0,41.4,58.7,59.0,51.5,43.7,70.2,67.5,47.0,41.4,58.7,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240109,2024-01-09,0233DT,IFED,1,23,73541,47212,23985,4301,31617,11858,2275,56,372,0,0,0,66018,67888,7523,5653,73541,47212,23985,4301,31617,11858,2275,56,372,0,0,0,66018,67888,7523,5653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -5726,   -3101,   -3788,    -453,    -961,    -326,    -494,      56,     -56,       0,       0,       0,   -4430,   -5075,   -1296,    -651,100.0,64.2,32.6,5.8,43.0,16.1,3.1,0.1,0.5,0.0,0.0,0.0,89.8,92.3,10.2,7.7,100.0,64.2,32.6,5.8,43.0,16.1,3.1,0.1,0.5,0.0,0.0,0.0,89.8,92.3,10.2,7.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,     13,     10,.,      6,      5,.,.,.,      0,      0,      0,21,     19,28,     13,     10,.,      6,      5,.,.,.,      0,      0,      0,21,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.8,43.7,70.1,67.7,47.3,41.6,59.2,59.3,51.8,43.7,70.1,67.7,47.3,41.6,59.2,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,240102,2024-01-02,0233DT,IFED,1,23,79267,50313,27773,4754,32578,12184,2769,0,428,0,0,0,70448,72963,8819,6304,79267,50313,27773,4754,32578,12184,2769,0,428,0,0,0,70448,72963,8819,6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     124,     186,       0,       0,     248,    -155,       0,       0,       0,       0,       0,       0,      31,      93,      93,      31,100.0,63.5,35.0,6.0,41.1,15.4,3.5,0.0,0.5,0.0,0.0,0.0,88.9,92.0,11.1,8.0,100.0,63.5,35.0,6.0,41.1,15.4,3.5,0.0,0.5,0.0,0.0,0.0,88.9,92.0,11.1,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,     12,     11,.,      6,      5,.,      0,.,      0,      0,      0,20,     20,27,     12,     11,.,      6,      5,.,      0,.,      0,      0,      0,20,     20,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,50.2,42.1,69.0,66.2,46.2,40.1,57.3,59.3,50.2,42.1,69.0,66.2,46.2,40.1,57.3,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,240227,2024-02-27,0233DW,IFED,1,23,31925,23634,30256,6048,0,0,0,0,0,812,0,0,30494,30256,1431,1669,31925,23634,30256,6048,0,0,0,0,0,812,0,0,30494,30256,1431,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    5620,    5434,    5496,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5434,    5496,     186,     124,100.0,74.0,94.8,18.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,95.5,94.8,4.5,5.2,100.0,74.0,94.8,18.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,95.5,94.8,4.5,5.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,     11,     14,.,      0,      0,      0,      0,      0,.,      0,      0,15,     14,25,     11,     14,.,      0,      0,      0,      0,      0,.,      0,      0,15,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,67.9,60.7,89.1,81.8,67.9,59.4,89.1,79.9,67.9,60.7,89.1,81.8,67.9,59.4,89.1,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,240220,2024-02-20,0233DW,IFED,1,23,26305,18200,24760,6048,0,0,0,0,0,812,0,0,25060,24760,1245,1545,26305,18200,24760,6048,0,0,0,0,0,812,0,0,25060,24760,1245,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     496,     372,     496,       0,       0,       0,       0,       0,       0,       0,       0,       0,     372,     496,     124,       0,100.0,69.2,94.1,23.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,95.3,94.1,4.7,5.9,100.0,69.2,94.1,23.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,95.3,94.1,4.7,5.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,      8,     13,.,      0,      0,      0,      0,      0,.,      0,      0,12,     13,23,      8,     13,.,      0,      0,      0,      0,      0,.,      0,      0,12,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,73.2,63.3,90.4,84.3,73.2,61.3,90.4,82.3,73.2,63.3,90.4,84.3,73.2,61.3,90.4,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,240213,2024-02-13,0233DW,IFED,1,23,25809,17828,24264,6048,0,0,0,0,0,812,0,0,24688,24264,1121,1545,25809,17828,24264,6048,0,0,0,0,0,812,0,0,24688,24264,1121,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     434,       0,     434,     372,       0,       0,       0,       0,       0,       0,       0,       0,     372,     434,      62,       0,100.0,69.1,94.0,23.4,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,95.7,94.0,4.3,6.0,100.0,69.1,94.0,23.4,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,95.7,94.0,4.3,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,      7,     13,.,      0,      0,      0,      0,      0,.,      0,      0,11,     13,22,      7,     13,.,      0,      0,      0,      0,      0,.,      0,      0,11,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,74.6,64.0,92.2,84.0,74.6,62.0,92.2,81.9,74.6,64.0,92.2,84.0,74.6,62.0,92.2,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,240206,2024-02-06,0233DW,IFED,1,23,25375,17828,23830,5676,0,0,0,0,0,812,0,0,24316,23830,1059,1545,25375,17828,23830,5676,0,0,0,0,0,812,0,0,24316,23830,1059,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -1592,     307,   -2535,   -1519,       0,       0,     -74,       0,    -174,      31,       0,     -31,   -1460,   -2740,    -132,    1148,100.0,70.3,93.9,22.4,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,95.8,93.9,4.2,6.1,100.0,70.3,93.9,22.4,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,95.8,93.9,4.2,6.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,      7,     13,.,      0,      0,      0,      0,      0,.,      0,      0,11,     13,22,      7,     13,.,      0,      0,      0,      0,      0,.,      0,      0,11,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,74.4,65.1,92.3,84.7,74.4,63.0,92.3,82.7,74.4,65.1,92.3,84.7,74.4,63.0,92.3,82.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,240130,2024-01-30,0233DW,IFED,1,23,26967,17521,26365,7195,0,0,74,0,174,781,0,31,25776,26570,1191,397,26967,17521,26365,7195,0,0,74,0,174,781,0,31,25776,26570,1191,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.0,65.0,97.8,26.7,0.0,0.0,0.3,0.0,0.6,2.9,0.0,0.1,95.6,98.5,4.4,1.5,100.0,65.0,97.8,26.7,0.0,0.0,0.3,0.0,0.6,2.9,0.0,0.1,95.6,98.5,4.4,1.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,      8,     14,.,      0,      0,.,      0,.,.,      0,.,13,     16,24,      8,     14,.,      0,      0,.,      0,.,.,      0,.,13,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,65.8,63.4,89.0,86.8,65.8,59.9,86.8,82.1,65.8,63.4,89.0,86.8,65.8,59.9,86.8,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
